species,season,reason
odocoileus_virginianus,fall,missing_outputs
odocoileus_virginianus,winter,missing_outputs
apalone_spinifera,spring,missing_outputs
apalone_spinifera,summer,missing_outputs
apalone_spinifera,fall,missing_outputs
apalone_spinifera,winter,missing_outputs
chelydra_serpentina,spring,missing_outputs
chelydra_serpentina,summer,missing_outputs
chelydra_serpentina,fall,missing_outputs
chelydra_serpentina,winter,missing_outputs
chrysemys_dorsalis,spring,missing_outputs
chrysemys_dorsalis,summer,missing_outputs
chrysemys_dorsalis,fall,missing_outputs
chrysemys_dorsalis,winter,missing_outputs
crotalus_horridus,spring,missing_outputs
crotalus_horridus,summer,missing_outputs
crotalus_horridus,fall,missing_outputs
crotalus_horridus,winter,missing_outputs
farancia_abacura,spring,missing_outputs
farancia_abacura,summer,missing_outputs
farancia_abacura,fall,missing_outputs
farancia_abacura,winter,missing_outputs
graptemys_ouachitensis,spring,missing_outputs
graptemys_ouachitensis,summer,missing_outputs
graptemys_ouachitensis,fall,missing_outputs
graptemys_ouachitensis,winter,missing_outputs
graptemys_pseudogeographica,spring,missing_outputs
graptemys_pseudogeographica,summer,missing_outputs
graptemys_pseudogeographica,fall,missing_outputs
graptemys_pseudogeographica,winter,missing_outputs
graptemys_pseudogeographica_kohnii,spring,missing_outputs
graptemys_pseudogeographica_kohnii,summer,missing_outputs
graptemys_pseudogeographica_kohnii,fall,missing_outputs
graptemys_pseudogeographica_kohnii,winter,missing_outputs
kinosternon_subrubrum,spring,missing_outputs
kinosternon_subrubrum,summer,missing_outputs
kinosternon_subrubrum,fall,missing_outputs
kinosternon_subrubrum,winter,missing_outputs
lampropeltis_triangulum,spring,missing_outputs
lampropeltis_triangulum,summer,missing_outputs
lampropeltis_triangulum,fall,missing_outputs
lampropeltis_triangulum,winter,missing_outputs
nerodia_fasciata,spring,missing_outputs
nerodia_fasciata,summer,missing_outputs
nerodia_fasciata,fall,missing_outputs
nerodia_fasciata,winter,missing_outputs
nerodia_fasciata_confluens,spring,missing_outputs
nerodia_fasciata_confluens,summer,missing_outputs
nerodia_fasciata_confluens,fall,missing_outputs
nerodia_fasciata_confluens,winter,missing_outputs
nerodia_rhombifer_rhombifer,spring,missing_outputs
nerodia_rhombifer_rhombifer,summer,missing_outputs
nerodia_rhombifer_rhombifer,fall,missing_outputs
nerodia_rhombifer_rhombifer,winter,missing_outputs
sternotherus_odoratus,spring,missing_outputs
sternotherus_odoratus,summer,missing_outputs
sternotherus_odoratus,fall,missing_outputs
sternotherus_odoratus,winter,missing_outputs
thamnophis_proximus,spring,missing_outputs
thamnophis_proximus,summer,missing_outputs
thamnophis_proximus,fall,missing_outputs
thamnophis_proximus,winter,missing_outputs
